date,Otwarcie,Najwyzszy,Najnizszy,close,Wolumen
2015-01-16,2254.33,2273.11,2225.93,2252.33,31677863
2015-01-19,2256.97,2265.61,2232.01,2255.12,17609655
2015-01-20,2265.71,2275.27,2242.42,2242.42,18093707
2015-01-21,2249.92,2287.86,2245.26,2287.86,19650634
2015-01-22,2292.99,2326.6,2292.74,2319.45,22915524
2015-01-23,2322.49,2334.65,2315.14,2319.59,21426201
2015-01-26,2305.3,2313.08,2292.12,2307.29,18802479
2015-01-27,2313.16,2332.78,2296.03,2309.86,25613034
2015-01-28,2318.69,2331.89,2296.26,2319.18,28581222
2015-01-29,2321.4,2346.48,2312.8,2340.77,23257585
2015-01-30,2345.43,2350.44,2335.2,2341,19329251
2015-02-02,2344.22,2350.55,2307.78,2330.14,19878774
2015-02-03,2333.87,2343.18,2316.67,2335.42,25637983
2015-02-04,2337,2341.68,2327.49,2341.68,19548860
2015-02-05,2337.47,2341.58,2324.81,2341.58,25220533
2015-02-06,2344.11,2356.42,2340.11,2354.47,24244177
2015-02-09,2347.74,2350.31,2331.72,2339.79,16314590
2015-02-10,2342.25,2351.08,2337.28,2340.12,16131473
2015-02-11,2345.33,2346.36,2321.56,2323.5,33759471
2015-02-12,2329.33,2343.94,2324.38,2338.37,16518635
2015-02-13,2344.81,2346.95,2335.86,2346.95,20392321
2015-02-16,2350.22,2366.45,2350.09,2362,13398963
2015-02-17,2360.91,2368.17,2351.81,2360.31,23939066
2015-02-18,2369.74,2371.42,2346.71,2346.71,17782366
2015-02-19,2351.85,2358.28,2342.45,2348.06,15911448
2015-02-20,2349.94,2355.73,2344.31,2348.94,10019219
2015-02-23,2359.47,2365.58,2354.46,2365.58,19071003
2015-02-24,2364.12,2366.27,2346.3,2363.61,21829065
2015-02-25,2366.87,2369.24,2350.07,2354.65,17863397
2015-02-26,2350.47,2361.01,2345.31,2361.01,19126926
2015-02-27,2361.45,2368.58,2355.17,2367.1,29220424
2015-03-02,2371.78,2373.03,2349.94,2358.25,18661705
2015-03-03,2354.2,2357.91,2323.09,2323.09,18587621
2015-03-04,2323.71,2343.5,2307.09,2338,22087689
2015-03-05,2346.01,2359.92,2346.01,2355.75,36753703
2015-03-06,2358.87,2361.73,2340.36,2345.93,20279946
2015-03-09,2341.26,2357.32,2337.28,2344.12,16926296
2015-03-10,2343.04,2347.52,2312.55,2312.96,18507819
2015-03-11,2317.97,2325.54,2309.01,2325.12,18008719
2015-03-12,2334.7,2336.81,2318.23,2329.81,21028560
2015-03-13,2329.03,2330.76,2297.37,2303.4,19478897
2015-03-16,2306.79,2317.87,2301.25,2311.04,15569266
2015-03-17,2315.57,2339.17,2311.04,2330.39,18068702
2015-03-18,2333.12,2348.91,2332.43,2344.36,18993106
2015-03-19,2352.78,2384.78,2352.78,2384.78,26970392
2015-03-20,2387.65,2411.05,2383.97,2407.7,62999108
2015-03-23,2410.35,2414.39,2393.51,2414.39,11446892
2015-03-24,2405.98,2414.78,2399.83,2412.32,17222941
2015-03-25,2408.49,2413.2,2395.02,2395.4,24951160
2015-03-26,2383.55,2388.93,2372.07,2376.39,17809499
2015-03-27,2379.49,2389.83,2373.18,2373.18,20004263
2015-03-30,2383.57,2400.3,2383.56,2396.44,21727298
2015-03-31,2394.45,2403.11,2384.93,2395.94,21561035
2015-04-01,2390.61,2401.28,2388.15,2392.7,26610466
2015-04-02,2394.37,2400.89,2388.5,2400.65,16434302
2015-04-07,2407.5,2431.6,2405.1,2420.78,18973225
2015-04-08,2422.16,2432.94,2419.01,2424.82,26438088
2015-04-09,2423.81,2441.89,2423.16,2441.89,23136252
2015-04-10,2443.83,2451.52,2434.95,2443.62,21882338
2015-04-13,2441.37,2444.53,2433.4,2442.47,17331609
2015-04-14,2441.59,2442.98,2424.39,2434.89,16019618
2015-04-15,2432.55,2475.59,2432.55,2475.33,23011010
2015-04-16,2476.35,2503.65,2476.35,2503.65,26876279
2015-04-17,2500.19,2512.67,2463.96,2463.96,26266928
2015-04-20,2468.91,2510.26,2468.91,2505.34,20139306
2015-04-21,2513.88,2528.43,2498.52,2509.5,23036827
2015-04-22,2510.36,2526.18,2500.87,2520.38,25191763
2015-04-23,2529.38,2534,2506.45,2522.78,18562326
2015-04-24,2524.02,2531.29,2508.31,2519.2,20853296
2015-04-27,2520.88,2558.58,2518.99,2549.4,27151662
2015-04-28,2547.24,2557.19,2539.8,2548.98,29725213
2015-04-29,2549.16,2556.4,2516.77,2521.57,20020058
2015-04-30,2518.69,2529.38,2508.27,2514.63,24480983
2015-05-04,2519.97,2536.86,2517.05,2523.09,15011444
2015-05-05,2523,2528.14,2499.51,2507.95,16981361
2015-05-06,2503.35,2526.5,2498.76,2524.54,31626814
2015-05-07,2522.86,2527.64,2495.31,2522.61,22015212
2015-05-08,2525.11,2555.79,2525.11,2546.78,21390544
2015-05-11,2546.05,2547.78,2535.1,2535.1,15724407
2015-05-12,2537.79,2542.65,2511.2,2542.65,19826237
2015-05-13,2537.11,2550.84,2533.78,2540.26,26524234
2015-05-14,2535.55,2536.72,2512.65,2513.58,26050244
2015-05-15,2515.54,2528.07,2511.79,2514.84,16032544
2015-05-18,2521.14,2534.16,2515.08,2523.59,12649813
2015-05-19,2525.73,2537.53,2522.17,2523.35,16836283
2015-05-20,2524.07,2524.07,2501.33,2521.07,19657790
2015-05-21,2518.85,2526.83,2508.8,2524.83,14248975
2015-05-22,2522.37,2523.43,2505.41,2516.76,16797959
2015-05-25,2501.45,2501.45,2462.61,2473.17,10242332
2015-05-26,2459.98,2470.04,2447.05,2448.81,19134203
2015-05-27,2451.44,2461.84,2439.99,2460.74,31629509
2015-05-28,2462.81,2463.12,2441.15,2441.15,12683919
2015-05-29,2442.55,2458.64,2437.81,2437.81,32546739
2015-06-01,2441.39,2449.64,2430.1,2437.09,15812182
2015-06-02,2437.04,2437.04,2405.78,2408.73,19200849
2015-06-03,2411.41,2415.52,2386.07,2388.93,20498956
2015-06-05,2387.28,2387.28,2361.62,2365.58,20012361
2015-06-08,2365.68,2375.28,2354.26,2354.26,16424167
2015-06-09,2356.16,2372.94,2338.65,2338.65,22572662
2015-06-10,2339.7,2388.16,2338.84,2384.49,31147838
2015-06-11,2387.95,2393.72,2377.41,2383.87,15525001
2015-06-12,2384.63,2384.63,2358.73,2358.73,12698268
2015-06-15,2353.17,2372.2,2346.76,2358.03,11753851
2015-06-16,2356.77,2363.14,2347.51,2356.77,19961107
2015-06-17,2357.51,2368.57,2316.85,2321.39,22594023
2015-06-18,2315.57,2335.94,2304.33,2334.36,22270912
2015-06-19,2328.66,2331.87,2299.35,2299.35,36441291
2015-06-22,2312.13,2352.58,2312.13,2350.09,13237941
2015-06-23,2355.85,2361.06,2341.26,2341.26,13230143
2015-06-24,2340.37,2352.56,2332.76,2348.97,15123460
2015-06-25,2345.61,2369.41,2344.59,2354.74,19661403
2015-06-26,2352.13,2352.73,2333.82,2333.82,17860316
2015-06-29,2285.5,2303.38,2246.47,2291.23,13901201
